JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459125.38581,12.634,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.656,Z,,11.205,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.386331,12.617,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.675,Z,,11.217,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.386852,12.627,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.695,Z,,11.201,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.387373,12.624,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.715,Z,,11.199,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.387905,12.611,0.021,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.736,Z,,11.222,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.388438,12.630,0.021,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.756,Z,,11.220,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.388958,12.619,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.777,Z,,11.205,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.47151,12.360,0.010,,V,HMB,,UCAC4 349-129678,UCAC4 349-129865,,STANDARD MAG: C = 12.450  K = 11.829,0,1.051,Z,18.652,18.011,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459125.47207,12.385,0.013,,V,HMB,,UCAC4 349-129678,UCAC4 349-129865,,STANDARD MAG: C = 12.450  K = 11.829,0,1.052,Z,18.822,18.177,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459125.47257,11.837,0.028,,I,HMB,,UCAC4 349-129678,UCAC4 349-129865,,STANDARD MAG: C = 12.237  K = 11.781,0,1.053,Z,19.940,19.368,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459125.47295,11.834,0.030,,I,HMB,,UCAC4 349-129678,UCAC4 349-129865,,STANDARD MAG: C = 12.237  K = 11.781,0,1.054,Z,19.986,19.407,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
